Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,c,a,1270.0,9.0,2008.0,5,2015-07-31,5263,555,1,1,0,1
1,c,a,1270.0,9.0,2008.0,4,2015-07-30,5020,546,1,1,0,1
1,c,a,1270.0,9.0,2008.0,3,2015-07-29,4782,523,1,1,0,1
1,c,a,1270.0,9.0,2008.0,2,2015-07-28,5011,560,1,1,0,1
1,c,a,1270.0,9.0,2008.0,1,2015-07-27,6102,612,1,1,0,1
1,c,a,1270.0,9.0,2008.0,7,2015-07-26,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-07-25,4364,500,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-07-24,3706,459,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-07-23,3769,503,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-07-22,3464,463,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-07-21,3558,469,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-07-20,4395,526,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-07-19,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-07-18,4406,512,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-07-17,4852,519,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-07-16,4427,517,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-07-15,4767,550,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-07-14,5042,544,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-07-13,5054,553,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-07-12,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-07-11,3530,441,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-07-10,3808,449,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-07-09,3897,480,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-07-08,3797,485,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-07-07,3650,485,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-07-06,4359,540,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-07-05,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-07-04,4797,560,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-07-03,4665,538,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-07-02,5558,573,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-07-01,5223,562,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-06-30,5735,568,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-06-29,5197,541,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-06-28,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-06-27,4019,463,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-06-26,3317,420,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-06-25,3533,433,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-06-24,3346,414,1,0,0,0
